CommentID,text,CommentUserID,CommentDate,Keyword,ObsoleteType,LegacyOrInvalid
76497349,"a) RFC 2616 is obsolete, see RFCs 723* instead&#xA;b) that said, the reason phrase doesn't exist in HTTP/2 anyway",50543,6/26/2017 11:13,obsolete,protocol,invalid
71071328,"I lost an hour because I used above syntax which didn't work for me. The reason was that I define my interfaces without the public accessor (it's obsolete since all interfaces are public). In that case you need to use: -keep interface com.somepackage.SomeClass$someInterface {*;}. I think ProGuard should be ""clever"" enough to handle his case automatically.",534471,1/30/2017 21:18,obsolete,tool,invalid
72643452,"I am sorry but that doesn't solve my problem at all. My problem is/was, that the mocked instance isn't used as object in the dependency injection. Creation these services by hand makes dependency injection kind of obsolete.",1136905,3/13/2017 12:55,obsolete,ext,invalid
53034422,"Make sure you've got the spacing correct. For example, it must be `{% if x == 0 %}`, not `{% if x==0 %}`. You shouldn't use `ifequal`, it's obsolete. Using [`==`](https://docs.djangoproject.com/en/1.8/ref/templates/builtins/#operator) in the if tag definitely works.",113962,9/15/2015 15:46,obsolete,ext,invalid
25828876,"Old and obsolete method, unreliable also. @mkdir.. seriously?",693806,7/18/2013 10:24,obsolete,lang,legacy
23142158,"*""I thought ISO committee is smart enough to implement a cool feature""* - Of course they are. And you know what, they're even smart enough to not implement each and every feature one might find *""cool""*. *Boost* is a vast selection of feature-rich libraries and not a de facto model for the next standard. We finally have lambdas. Ok, they're not as *neat* as you example, but they integrate well into the existing language and don't obfuscate the language syntax into something completely different. And they make library solutions like *Boost.Lambda* obsolete, If you still want it, just use it.",743214,4/24/2013 9:04,obsolete,lang,legacy
75029007,"I don't agree, could you please refer to [this](http://answers.unity3d.com/questions/33597/is-it-possible-to-create-a-tag-programmatically.html) article and confirm that it is obsolete. Thanks.",7597141,5/16/2017 11:37,obsolete,tool,invalid
4561624,"Cool, didn't know about that. Makes my answer somewhat obsolete :)",381179,11/18/2010 16:08,obsolete,tool,legacy
21920673,"The sample code in the question relates to the obsolete JavaFX 1.x branch, which may not work this way (though it likely does).  For JavaFX 2+ code, the answer is great.",1155209,3/18/2013 19:58,obsolete,lang,invalid
59096987,"For those using newer versions of .NET, you have to use `Page.ClientScript.GetPostBackEventReference` since 'this.GetPostBackEventReference(...)' is obsolete. Also probably `Page.ClientScript.RegisterStartupScript(...)`.",3330452,2/29/2016 21:33,obsolete,lang,legacy
39471503,"Welcome to StackOverflow. Please consider adding quotes from the links to your answer, so link rot may not make the answer obsolete in the future.",1461424,8/15/2014 5:02,obsolete,ref,invalid
6243572,"""obsolescent"" is the term in the POSIX reference I use (see the link in my answer). *I think ""obsolete"" is for functions already removed and ""obsolescent"" for functions marked for removal*",25324,3/31/2011 14:35,obsolete,lang,invalid
46887979,"According to the [W3C](https://www.w3.org/wiki/HTML/Elements/nobr) and [MDN](https://developer.mozilla.org/en-US/docs/Web/HTML/Element/nobr), this element is non-standard and [non-conforming](http://www.w3.org/TR/html5/obsolete.html#non-conforming-features) and should not be used. The alternative is the CSS declaration `white-space:nowrap;` ([""white-space"" documentation here](https://developer.mozilla.org/en-US/docs/Web/CSS/white-space)).",,,obsolete,ref,legacy
92245538,The `stream` option for File transport is deprecated (see: https://github.com/winstonjs/winston/blob/master/docs/transports.md#file-transport). Maybe use the Stream Transport instead?,,,,ref,legacy
97546312,"`psutil.get_process_list()` was deprecated in 2012. 

[source](https://github.com/giampaolo/psutil/blob/73337e03e8eb6f78dba791a91da34cd244172159/HISTORY.rst#050)

the pythonic way now is to use iterables.",,,,ref,legacy
30121428,"On my system (GNU/Linx) `sdiff` appears to do the same thing as `diff -y` and the `sdiff` info documentation says it's deprecated: ""'sdiff' without '--output' ('-o') produces a side-by-side difference.  This usage is ",470844,11/25/2013 20:08,obsolete,tool/os,legacy
77565800,Usage of $TCA[TABLENAME] is obsolete but still working in TYPO3 CMS 8,4256351,7/25/2017 11:43,obsolete,tool,legacy
51240610,"I've cleaned up the comments here insofar I think they were obsolete now. Please use *chat* in future, comments are not really for extended discussion.",100297,7/27/2015 7:35,obsolete,mobile,invalid
